Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2019-01-31,39.7,85.94,56.03,98.23,3.56
2019-02-28,41.48,81.99,56.06,105.83,3.83
2019-03-31,45.5,89.04,58.56,111.42,4.46
2019-04-30,48.07,96.33,59.66,123.38,4.49
2019-05-31,42.1,88.75,55.06,117.27,3.37
2019-06-30,47.59,94.68,53.88,127.02,4.08
2019-07-31,51.23,93.34,60.62,129.21,4.19
2019-08-31,50.39,88.81,59.24,131.15,4.17
2019-09-30,54.06,86.8,60.77,132.26,4.33
2019-10-31,60.05,88.83,62.64,136.39,5.0
2019-11-30,64.7,90.04,64.89,144.5,5.4
2019-12-31,71.09,92.39,66.65,150.54,5.86
2020-01-31,74.93,100.44,71.3,162.5,5.89
2020-02-29,66.34,94.19,66.64,155.07,6.73
2020-03-31,61.71,97.49,57.82,150.96,6.57
2020-04-30,71.3,123.7,67.01,171.54,7.28
2020-05-31,77.37,122.12,71.33,175.89,8.84
2020-06-30,88.77,137.94,70.57,195.34,9.47
2020-07-31,103.43,158.23,74.04,196.78,10.58
2020-08-31,125.83,172.55,81.09,217.0,13.33
2020-09-30,112.93,157.44,72.93,202.37,13.49
2020-10-31,106.15,151.81,80.42,194.81,12.5
2020-11-30,116.29,158.4,87.3,206.51,13.36
2020-12-31,129.61,162.85,87.22,214.56,13.02
2021-01-31,128.9,160.31,90.93,223.77,12.96
2021-02-28,118.62,154.65,100.61,224.69,13.68
2021-03-31,119.49,154.7,102.64,227.97,13.32
2021-04-30,128.6,173.37,117.12,243.83,14.98
2021-05-31,122.11,161.15,117.28,241.97,16.21
2021-06-30,134.21,172.01,121.51,262.54,19.96
2021-07-31,142.93,166.38,134.09,276.12,19.46
2021-08-31,149.0,173.54,144.01,293.12,22.34
2021-09-30,138.86,164.25,133.04,273.74,20.68
2021-10-31,147.01,168.62,147.34,322.0,25.52
2021-11-30,162.46,175.35,141.22,321.59,32.61
2021-12-31,174.52,166.72,144.16,327.16,29.36
2022-01-31,171.77,149.57,134.66,302.51,24.44
2022-02-28,162.49,153.56,134.41,291.25,24.34
2022-03-31,171.83,163.0,138.41,300.53,27.24
2022-04-30,155.14,124.28,113.57,270.52,18.52
2022-05-31,146.68,120.21,113.22,265.63,18.64
2022-06-30,134.74,106.21,108.44,250.94,15.14
2022-07-31,160.15,134.95,115.77,274.3,18.14
2022-08-31,155.16,126.77,107.71,256.01,15.07
2022-09-30,136.39,113.0,95.19,228.04,12.13
2022-10-31,151.33,102.44,94.06,227.28,13.48
2022-11-30,146.33,96.54,100.51,250.52,16.91
2022-12-31,128.44,84.0,87.81,235.48,14.6
2023-01-31,142.63,103.13,98.37,243.32,19.52
2023-02-28,145.94,94.23,89.63,245.52,23.2
2023-03-31,163.25,103.29,103.24,283.79,27.76
2023-04-30,167.99,105.45,106.83,302.45,27.73
2023-05-31,175.72,120.58,122.29,323.96,37.81
2023-06-30,192.3,130.36,119.13,335.94,42.28
2023-07-31,194.76,133.68,132.09,331.38,46.7
2023-08-31,186.5,138.01,135.52,324.02,49.33
2023-09-30,169.96,127.12,130.24,312.15,43.48
2023-10-31,169.53,133.09,123.49,334.25,40.76
2023-11-30,188.82,146.09,131.9,375.34,46.75
2023-12-31,191.38,151.94,139.03,372.5,49.5
2024-01-31,183.3,155.2,139.43,393.84,61.5
2024-02-29,179.9,176.76,137.8,410.51,79.08
2024-03-31,170.67,180.38,150.21,417.53,90.33
2024-04-30,169.53,175.0,162.01,386.38,86.37
2024-05-31,191.61,176.44,171.68,412.73,109.6
2024-06-30,209.91,193.25,181.49,444.36,123.51
2024-07-31,221.34,186.98,170.92,415.93,116.99
2024-08-31,228.5,178.5,162.79,415.47,119.34
2024-09-30,232.49,186.33,165.47,428.58,121.42
2024-10-31,225.41,186.4,170.72,404.73,132.74
2024-11-30,237.07,207.89,168.56,422.61,138.23
2024-12-31,250.14,219.39,189.08,420.66,134.28
